,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Citizen Kane,1941,8.3,100.0,398083,1.59,119
1,It's a Wonderful Life,1946,8.6,89.0,394840,,130
2,The Godfather,1972,9.2,100.0,1600417,134.97,175
3,1917,2019,8.3,78.0,400696,159.23,119
4,Avengers: Endgame,2019,8.4,78.0,787315,858.37,181
5,Inception,2010,8.8,74.0,2043078,292.58,148
6,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1643362,315.54,178
7,Parasite,2019,8.6,96.0,520179,53.37,132
8,Interstellar,2014,8.6,74.0,1488034,188.02,169
9,Spider-Man: Into the Spider-Verse,2018,8.4,87.0,362118,190.24,117
10,The Shawshank Redemption,1994,9.3,80.0,2317654,28.34,142
11,Joker,2019,8.5,59.0,908866,335.45,122
12,The Dark Knight,2008,9.0,84.0,2279873,534.86,152
13,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1219741,322.74,121
14,Inglourious Basterds,2009,8.3,69.0,1252560,120.54,153
15,The Prestige,2006,8.5,66.0,1176717,53.09,130
16,Léon: The Professional,1994,8.5,64.0,1024689,19.5,110
17,Pulp Fiction,1994,8.9,94.0,1808227,107.93,154
18,Hamilton,2020,8.6,90.0,49179,,160
19,The Matrix,1999,8.7,73.0,1658497,171.48,136
20,Gladiator,2000,8.5,67.0,1328265,187.71,155
21,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,940907,309.13,131
22,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1147840,290.48,124
23,Back to the Future,1985,8.5,87.0,1046324,210.61,116
24,The Green Mile,1999,8.6,61.0,1134056,136.8,189
25,The Lord of the Rings: The Return of the King,2003,8.9,94.0,1627043,377.85,201
26,One Flew Over the Cuckoo's Nest,1975,8.7,83.0,909715,112.0,133
27,The Godfather: Part II,1974,9.0,90.0,1117839,57.3,202
28,Fight Club,1999,8.8,66.0,1835993,37.03,139
29,Forrest Gump,1994,8.8,82.0,1787152,330.25,142
30,The Silence of the Lambs,1991,8.6,85.0,1257004,130.74,118
31,Goodfellas,1990,8.7,90.0,1009117,46.84,146
32,Se7en,1995,8.6,65.0,1428377,100.13,127
33,The Departed,2006,8.5,85.0,1177674,132.38,151
34,Django Unchained,2012,8.4,81.0,1341748,162.81,165
35,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1470895,342.55,179
36,Avengers: Infinity War,2018,8.4,68.0,818758,678.82,149
37,Schindler's List,1993,8.9,94.0,1202017,96.9,195
38,American Beauty,1999,8.3,84.0,1061723,130.1,122
39,Apocalypse Now,1979,8.4,94.0,600853,83.47,147
40,Whiplash,2014,8.5,88.0,706741,13.09,106
41,The Dark Knight Rises,2012,8.4,78.0,1502562,448.14,164
42,Good Will Hunting,1997,8.3,70.0,852314,138.43,126
43,Raiders of the Lost Ark,1981,8.4,85.0,876871,248.16,115
44,2001: A Space Odyssey,1968,8.3,84.0,597883,56.95,149
45,Requiem for a Dream,2000,8.3,68.0,760009,3.64,102
46,Alien,1979,8.4,89.0,780952,78.9,117
47,Memento,2000,8.4,80.0,1115769,25.54,113
48,The Shining,1980,8.4,66.0,888936,44.02,146
49,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,903819,34.4,108
50,The Usual Suspects,1995,8.5,77.0,982695,23.34,106
51,Braveheart,1995,8.3,68.0,952263,75.6,178
52,Saving Private Ryan,1998,8.6,91.0,1223186,216.54,169
53,12 Angry Men,1957,9.0,96.0,681884,4.36,96
54,Full Metal Jacket,1987,8.3,76.0,669070,46.36,116
55,Rear Window,1954,8.4,100.0,439934,36.76,112
